,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
237201,Sempervivum × chavinii Lagger,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237202,Sempervivum × fauconnettii var. rubellum (Timb.-Lagr.) G.D.Rowley,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237203,Sempervivum × flavipilum Hausm. ex Saut.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237204,Sempervivum × chanousianum Pavar.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237205,Sempervivum lautareticum Lamotte,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237206,Sempervivum arachnoideum subsp. fauconnetii (Reut.) Nyman,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237207,Sempervivum × longifolium Schnittsp. ex Lagger,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237208,Sempervivum × angustifolium A.Kern.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237209,Sempervivum × hausmannii C.B.Lehm. & Schnittsp.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237210,Sempervivum × heerianum Brügger,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237211,Sempervivum × fauconnetii Reut.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237212,Sempervivum × funkii Le Jol. ex Nyman,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237213,Sempervivum × fontanae Brügger,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237214,Sempervivum × rubellum Timb.-Lagr.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237215,Sempervivum × schnittspahnii Lagger,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237216,Sempervivum × thomayeri Correvon,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237217,Sempervivum × tissieri Lagger,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237218,Sempervivum × villosulum Rouy & E.G.Camus,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237219,Sempervivum × pyrenaicum Lamotte,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237220,Sempervivum × pseudoarachnoideum Lamotte,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237221,Sempervivum × penicellatum C.B.Lehm. & Schnittsp.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237222,Sempervivum × piliferum Jord.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237223,Sempervivum × pilosella C.B.Lehm. & Schnittsp.,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237224,Sempervivum × pomelii Lamotte,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum Scheele,Sempervivum × alatum,Sempervivum × alatum nothosubsp. alatum,Sempervivum × alatum
237311,Jovibarba hirta subsp. hirtella (Schott ex Fuss) Soó,Sempervivum globiferum subsp. arenarium (W.D.J.Koch) 't Hart & Bleij,Sempervivum globiferum subsp. arenarium (W.D.J.Koch) 't Hart & Bleij,Sempervivum globiferum subsp. arenarium (W.D.J.Koch) 't Hart & Bleij,Sempervivum globiferum,Sempervivum globiferum subsp. hirtum (L.) 't Hart & Bleij,Sempervivum globiferum
237321,Sedum uniflorum Hook. & Arn.,Sedum sasakii Hayata,Sedum sasakii Hayata,Sedum sasakii Hayata,Sedum sasakii,Sedum ryukyuense Takuro Ito,Sedum ryukyuense
237804,Swartzia acutifolia var. parvipetala R.S.Cowan,Swartzia acutifolia Vogel,Swartzia acutifolia Vogel,Swartzia acutifolia Vogel,Swartzia acutifolia,Swartzia parvipetala (R.S.Cowan) Mansano,Swartzia parvipetala
238138,Leucadendron salignum R.Br.,Leucadendron salignum P.J.Bergius,Leucadendron salignum P.J.Bergius,Leucadendron salignum P.J.Bergius,Leucadendron salignum,Leucadendron xanthoconus (Kuntze) K.Schum.,Leucadendron xanthoconus
238157,Protea sericea Thunb.,Leucadendron salignum P.J.Bergius,Leucadendron salignum P.J.Bergius,Leucadendron salignum P.J.Bergius,Leucadendron salignum,Leucadendron sericeum (Thunb.) R.Br.,Leucadendron sericeum
238191,Oreobroma glandulosum Rydb.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa
238197,Lewisia glandulosa (Rydb.) S.Clay,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa
238203,Lewisia pygmaea subsp. glandulosa (Rydb.) Ferris,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea (A.Gray) B.L.Rob.,Lewisia pygmaea,Lewisia glandulosa (Rydb.) S.Clay,Lewisia glandulosa
238391,Euparea lanceola Baudo,"Lysimachia amoena (Sol. ex Gaertn.) Hassemer, Funez & R.Trevis.","Lysimachia amoena (Sol. ex Gaertn.) Hassemer, Funez & R.Trevis.","Lysimachia amoena (Sol. ex Gaertn.) Hassemer, Funez & R.Trevis.",Lysimachia amoena,"Lysimachia lanceola (Baudo) Hassemer, Funez & R.Trevis.",Lysimachia lanceola
238399,Anagallis alternifolia f. erecta R.Knuth,"Lysimachia amoena (Sol. ex Gaertn.) Hassemer, Funez & R.Trevis.","Lysimachia amoena (Sol. ex Gaertn.) Hassemer, Funez & R.Trevis.","Lysimachia amoena (Sol. ex Gaertn.) Hassemer, Funez & R.Trevis.",Lysimachia amoena,"Lysimachia lanceola (Baudo) Hassemer, Funez & R.Trevis.",Lysimachia lanceola
238462,Lasiodiscus chevalieri Hutch.,Lasiodiscus mildbraedii Engl.,Lasiodiscus mildbraedii Engl.,Lasiodiscus mildbraedii Engl.,Lasiodiscus mildbraedii,Lasiodiscus chevalieri Hutch.,Lasiodiscus chevalieri
238867,Statice reticulata Gouan,Limonium virgatum (Willd.) Fourr.,Limonium virgatum (Willd.) Fourr.,Limonium virgatum (Willd.) Fourr.,Limonium virgatum,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum
239193,Limonium circaei Pignatti,Limonium pontium Pignatti,Limonium pontium Pignatti,Limonium pontium Pignatti,Limonium pontium,Limonium pontium subsp. pontium,Limonium pontium
239260,Statice ciliata (Lange) Rothm.,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Limonium durieui,Armeria ciliata (Lange) Nieto Fel.,Armeria ciliata
239339,Statice dodartii Girard,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum,Limonium dodartii (Girard) Kuntze,Limonium dodartii
239577,Solanum ridleyanum Wernham,Lycianthes moszkowskii (Bitter) Bitter,Lycianthes moszkowskii (Bitter) Bitter,Lycianthes moszkowskii (Bitter) Bitter,Lycianthes moszkowskii,Lycianthes impar (Warb.) Bitter,Lycianthes impar
239854,Solanum lentum var. echinatum Dunal,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239855,Solanum cumanense Willd.,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239856,Lycianthes variifolia Standl.,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239857,Solanum decemfidum Pav. ex Dunal,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239858,Lycianthes recticarpa Rusby,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239859,Solanum declinatum Sessé & Moc.,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239860,Lycianthes lenta var. endopolytricha Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239861,Lycianthes lenta var. endopsila Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239862,Solanum fugax Bertero ex Dunal,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239863,Lycianthes lenta var. utrinquemollis Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239864,Solanum neglectum Bertero ex Dunal,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239865,Lycianthes lenta var. scotinophila Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239866,Solanum nocturnum Fernald,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239867,Solanum affine Dunal,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
239868,Solanum volubile Sessé & Moc.,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta (Cav.) Bitter,Lycianthes lenta,Lycianthes lenta var. lenta,Lycianthes lenta
240397,Lamourouxia linearis Benth.,Lamourouxia tenuifolia M.Martens & Galeotti,Lamourouxia tenuifolia M.Martens & Galeotti,Lamourouxia tenuifolia M.Martens & Galeotti,Lamourouxia tenuifolia,Lamourouxia dasyantha (Cham. & Schltdl.) W.R.Ernst,Lamourouxia dasyantha
240438,Linaria chalepensis var. gibbosa J.Thiébaut,Linaria chalepensis (L.) Mill.,Linaria chalepensis (L.) Mill.,Linaria chalepensis (L.) Mill.,Linaria chalepensis,Linaria chalepensis var. chalepensis,Linaria chalepensis
240448,Linaria glutinosa proles ficalhoana (Rouy) Samp.,Linaria bipunctata subsp. glutinosa (Hoffmanns. & Link) D.A.Sutton,Linaria bipunctata subsp. glutinosa (Hoffmanns. & Link) D.A.Sutton,Linaria bipunctata subsp. glutinosa (Hoffmanns. & Link) D.A.Sutton,Linaria bipunctata,Linaria ficalhoana Rouy,Linaria ficalhoana
240455,Linaria tournefortii f. glabrescens Lange,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea,Linaria saxatilis (L.) Chaz.,Linaria saxatilis
240456,Linaria tournefortii f. minor Lange,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea,Linaria saxatilis (L.) Chaz.,Linaria saxatilis
240457,Linaria tournefortii f. inquinans Lange,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea subsp. broussonetii (Poir.) Malato-Beliz,Linaria amethystea,Linaria saxatilis (L.) Chaz.,Linaria saxatilis
240527,Limosella aquatica var. minor Hartm.,Limosella aquatica L.,Limosella aquatica L.,Limosella aquatica L.,Limosella aquatica,Limosella aquatica var. aquatica,Limosella aquatica
240528,Limosella aquatica var. biflora Wahlenb.,Limosella aquatica L.,Limosella aquatica L.,Limosella aquatica L.,Limosella aquatica,Limosella aquatica var. aquatica,Limosella aquatica
240553,Luvunga eleutherandra Dalzell,Luvunga sarmentosa (Blume) Kurz,Luvunga sarmentosa (Blume) Kurz,Luvunga sarmentosa (Blume) Kurz,Luvunga sarmentosa,Luvunga eleutherandra Dalzell,Luvunga eleutherandra
240720,Ilysanthes oblongifolia Baker,Lindernia rotundifolia (L.) Alston,Lindernia rotundifolia (L.) Alston,Lindernia rotundifolia (L.) Alston,Lindernia rotundifolia,Lindernia oblongifolia (Baker) Eb.Fisch.,Lindernia oblongifolia
240774,Linaria vulgaris f. major Rouy,Linaria vulgaris Mill.,Linaria vulgaris Mill.,Linaria vulgaris Mill.,Linaria vulgaris,Linaria vulgaris subsp. vulgaris,Linaria vulgaris
241054,Linaria caesia proles transtagana (Spreng.) Samp.,Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton,Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton,Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton,Linaria polygalifolia,Linaria pedunculata (L.) Chaz.,Linaria pedunculata
241085,Linaria alpina var. flaviflora Lange,Linaria propinqua Boiss. & Reut.,Linaria propinqua Boiss. & Reut.,Linaria propinqua Boiss. & Reut.,Linaria propinqua,Linaria propinqua subsp. propinqua,Linaria propinqua
241534,Morus hachijoensis (Hotta) Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241564,Morus cuspidata Wall.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241565,Morus acidosa Griff.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241566,Morus bombycis Koidz.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241567,Morus bombycis var. saishuensis Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241568,Morus bombycis var. mikamiana Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241569,Morus bombycis var. flexuosa Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241570,Morus australis var. oblongifolia Z.Y.Cao,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241571,Morus australis var. linearipartita Z.Y.Cao,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241572,Morus australis var. inusitata (H.Lév.) C.Y.Wu,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241573,Morus australis var. incisa C.Y.Wu,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241574,Morus bombycis var. ikuchuensis Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241575,Morus australis var. hastifolia (F.T.Wang & T.Tang ex Z.Y.Cao) Z.Y.Cao,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241576,Morus amamiana Nakai,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241578,Morus cavaleriei H.Lév.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241579,Morus caudatifolia Koidz.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241580,Morus formosensis Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241581,Morus hastifolia F.T.Wang & T.Tang ex Z.Y.Cao,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241582,Morus longistylus Diels,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241583,Morus parvifolia Royle,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241586,Morus kagayamae Koidz.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241587,Morus japonica Siebold,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241588,Morus mizuho Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241589,Morus inusitata H.Lév.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241590,Morus rotundiloba Koidz.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241591,Morus stylosa Ser.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241592,Morus alba var. japonica Moretti,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241593,Morus stylosa var. cordifolia Ser.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241594,Morus japonica Audib. ex L.H.Bailey,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241596,Morus alba var. cuspidata Bureau,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241597,Morus alba var. stylosa Bureau,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241598,Morus stylosa var. ovalifolia Ser.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241599,Morus stylosa var. latidentata Ser.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241600,Morus bombycis var. caudatifolia (Koidz.) Koidz.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241601,Morus bombycis f. dissecta Nakai,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241602,Morus australis var. maritima Kitam.,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
241603,Morus kagayamae var. hachijoensis Hotta,Morus indica L.,Morus indica L.,Morus indica L.,Morus indica,Morus acidosa Griff.,Morus acidosa
242238,Maesa philippinensis Gand.,Maesa ramentacea (Roxb.) A.DC.,Maesa ramentacea (Roxb.) A.DC.,Maesa ramentacea (Roxb.) A.DC.,Maesa ramentacea,Maesa leptobotrya Hance,Maesa leptobotrya
242243,Maesa membranifolia Mez,Maesa ramentacea (Roxb.) A.DC.,Maesa ramentacea (Roxb.) A.DC.,Maesa ramentacea (Roxb.) A.DC.,Maesa ramentacea,Maesa membranifolia Mez,Maesa membranifolia
242561,Malva alcea var. bismalva (Bernh. ex Lej.) Samp.,Malva alcea L.,Malva alcea L.,Malva alcea L.,Malva alcea,Malva alcea subsp. alcea,Malva alcea
242562,Malva alcea var. triloba Lázaro Ibiza & Tubilla,Malva alcea L.,Malva alcea L.,Malva alcea L.,Malva alcea,Malva alcea subsp. alcea,Malva alcea
242563,Malva fastigiata var. foliosa Vayr.,Malva alcea L.,Malva alcea L.,Malva alcea L.,Malva alcea,Malva alcea subsp. alcea,Malva alcea
242564,Malva fastigiata f. rotundata Merino,Malva alcea L.,Malva alcea L.,Malva alcea L.,Malva alcea,Malva alcea subsp. alcea,Malva alcea
242565,Malva fastigiata var. nuda Westerl.,Malva alcea L.,Malva alcea L.,Malva alcea L.,Malva alcea,Malva alcea subsp. alcea,Malva alcea
242620,Malva spicata L.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum,Melochia spicata (L.) Fryxell,Melochia spicata
242691,Malva ambigua var. microphylla Rouy,Malva sylvestris L.,Malva sylvestris L.,Malva sylvestris L.,Malva sylvestris,Malva sylvestris var. sylvestris,Malva sylvestris
242834,Malvastrum helleri Eastw.,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus fremontii var. exfibulosus (Jeps.) K.Morse,Malacothamnus fremontii
242835,Malvastrum howellii Eastw.,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus fremontii var. fremontii,Malacothamnus fremontii
242837,Malvastrum fremontii subsp. exfibulosum (Jeps.) Wiggins,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus fremontii var. exfibulosus (Jeps.) K.Morse,Malacothamnus fremontii
242838,Malvastrum orbiculatum Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus orbiculatus (Greene) Greene,Malacothamnus orbiculatus
242839,Malvastrum fremontii var. cercophorum B.L.Rob.,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus fremontii var. fremontii,Malacothamnus fremontii
242840,Malvastrum howellii var. cordatum Eastw.,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus fremontii var. fremontii,Malacothamnus fremontii
242841,Sphaeralcea fremontii var. exfibulosa Jeps.,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii (A.Gray) Greene,Malacothamnus fremontii,Malacothamnus fremontii var. exfibulosus (Jeps.) K.Morse,Malacothamnus fremontii
242843,Malvastrum viscidum Abrams,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus,Malacothamnus densiflorus var. viscidus (Abrams) Kearney,Malacothamnus densiflorus
242847,Malacothamnus densiflorus var. viscidus (Abrams) Kearney,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus,Malacothamnus densiflorus var. viscidus (Abrams) Kearney,Malacothamnus densiflorus
242848,Sphaeralcea densiflora var. viscida (Abrams) Jeps.,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus,Malacothamnus densiflorus var. viscidus (Abrams) Kearney,Malacothamnus densiflorus
242850,Malvastrum densiflorum var. viscidum (Abrams) Estes,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus,Malacothamnus densiflorus var. viscidus (Abrams) Kearney,Malacothamnus densiflorus
242851,Malvastrum marrubioides var. viscidum (Abrams) McMinn,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus (S.Watson) Greene,Malacothamnus densiflorus,Malacothamnus densiflorus var. viscidus (Abrams) Kearney,Malacothamnus densiflorus
243689,Melampyrum nemorosum subsp. velebiticum (Borbás) P.Fourn.,Melampyrum subalpinum (Jur.) A.Kern.,Melampyrum subalpinum (Jur.) A.Kern.,Melampyrum subalpinum (Jur.) A.Kern.,Melampyrum subalpinum,Melampyrum velebiticum Borbás,Melampyrum velebiticum
243702,Melampyrum arvense var. elatius Boiss.,Melampyrum stenophyllum Boiss.,Melampyrum stenophyllum Boiss.,Melampyrum stenophyllum Boiss.,Melampyrum stenophyllum,Melampyrum elatius (Boiss.) Reut. ex Soó,Melampyrum elatius
