,taxon_name_w_authors,previous_chain_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
354018,Echinopsis gemmata (Otto ex Pfeiff.) K.Schum.,Echinopsis oxygona (Link) Zucc. ex Pfeiff.,Echinopsis oxygona (Link) Zucc. ex Pfeiff.,Echinopsis oxygona (Link) Zucc. ex Pfeiff.,Echinopsis oxygona,Lophocereus marginatus (DC.) S.Arias & Terrazas,Lophocereus marginatus,Echinopsis,Lophocereus
354146,Echinopsis scopulicola (F.Ritter) Mottram,Lobivia bridgesii (Salm-Dyck) Schlumpb.,Lobivia bridgesii (Salm-Dyck) Schlumpb.,Lobivia bridgesii (Salm-Dyck) Schlumpb.,Lobivia bridgesii,Trichocereus bridgesii (Salm-Dyck) Britton & Rose,Trichocereus bridgesii,Lobivia,Trichocereus
356384,Hyacinthus sulphureus (Waldst. & Kit.) E.H.L.Krause,Ornithogalum pyrenaicum L.,Ornithogalum pyrenaicum L.,Ornithogalum pyrenaicum L.,Ornithogalum pyrenaicum,Dipcadi serotinum var. serotinum ,Dipcadi serotinum,Ornithogalum,Dipcadi
357878,Ennepta atomaria Raf.,Maytenus acuminata (L.f.) Loes.,Maytenus acuminata (L.f.) Loes.,Maytenus acuminata (L.f.) Loes.,Maytenus acuminata,Ilex coriacea (Pursh) Chapm.,Ilex coriacea,Maytenus,Ilex
357879,Ennepta coriacea Raf.,Maytenus acuminata (L.f.) Loes.,Maytenus acuminata (L.f.) Loes.,Maytenus acuminata (L.f.) Loes.,Maytenus acuminata,Ilex coriacea (Pursh) Chapm.,Ilex coriacea,Maytenus,Ilex
359276,Episcia maculata Hook.f.,Pagothyra maculata (Hook.f.) J.F.Sm. & J.L.Clark,Pagothyra maculata (Hook.f.) J.F.Sm. & J.L.Clark,Pagothyra maculata (Hook.f.) J.F.Sm. & J.L.Clark,Pagothyra maculata,Paradrymonia maculata (Hook.f.) Wiehler,Paradrymonia maculata,Pagothyra,Paradrymonia
359358,Eranthemum bicolor Schrank,Eranthemum pulchellum Andrews,Eranthemum pulchellum Andrews,Eranthemum pulchellum Andrews,Eranthemum pulchellum,Pseuderanthemum bicolor (Schrank) Radlk.,Pseuderanthemum bicolor,Eranthemum,Pseuderanthemum
360434,Indurgia coromandeliana (Roxb.) Speta,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Dipcadi serotinum var. serotinum ,Dipcadi serotinum,Drimia,Dipcadi
362056,Eriocapitella japonica (Thunb.) Nakai,Clematis florida Thunb.,Clematis florida Thunb.,Clematis florida Thunb.,Clematis florida,Eriocapitella japonica (Thunb.) Nakai,Eriocapitella japonica,Clematis,Eriocapitella
363466,Eritrichium floribundum Torr.,Amphibologyne mexicana (M.Martens & Galeotti) Brand,Amphibologyne mexicana (M.Martens & Galeotti) Brand,Amphibologyne mexicana (M.Martens & Galeotti) Brand,Amphibologyne mexicana,Antiphytum floribundum A.Gray,Antiphytum floribundum,Amphibologyne,Antiphytum
363817,Erodium peristeroides Turcz.,Erodium cygnorum Nees,Erodium cygnorum Nees,Erodium cygnorum Nees,Erodium cygnorum,Pelargonium inodorum Willd.,Pelargonium inodorum,Erodium,Pelargonium
364051,Eruca drepanensis Caruel,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria,Brassica villosa subsp. drepanensis (Caruel) Raimondo & P.Mazzola,Brassica villosa,Eruca,Brassica
364961,Erysimum hirsutum Link,Sisymbrium runcinatum Lag. ex DC.,Sisymbrium runcinatum Lag. ex DC.,Sisymbrium runcinatum Lag. ex DC.,Sisymbrium runcinatum,Dichasianthus runcinatus (Lag. ex DC.) V.I.Dorof.,Dichasianthus runcinatus,Sisymbrium,Dichasianthus
365272,Erythraea divaricata Porta,Zeltnera quitensis (Kunth) G.Mans.,Zeltnera quitensis (Kunth) G.Mans.,Zeltnera quitensis (Kunth) G.Mans.,Zeltnera quitensis,"Centaurium erythraea subsp. enclusense (O.Bolòs, Molin. & P.Monts.) O.Bolòs & Vigo",Centaurium erythraea,Zeltnera,Centaurium
365310,Erythraea pumila (Jacq.) Grande,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum,Gentiana pumila Jacq.,Gentiana pumila,Centaurium,Gentiana
366491,Eucodonia lilacinella Van Houtte,Eucodonia verticillata (M.Martens & Galeotti) Wiehler,Eucodonia verticillata (M.Martens & Galeotti) Wiehler,Eucodonia verticillata (M.Martens & Galeotti) Wiehler,Eucodonia verticillata,× Achimenantha × naegelioides (Van Houtte) H.E.Moore,Achimenantha naegelioides,Eucodonia,Achimenantha
366536,Eugenioides fasciculatum Kuntze,Eurya japonica Thunb.,Eurya japonica Thunb.,Eurya japonica Thunb.,Eurya japonica,Symplocos fasciculata Zoll.,Symplocos fasciculata,Eurya,Symplocos
367065,Euphoria glabra Blume,Dimocarpus longan Lour.,Dimocarpus longan Lour.,Dimocarpus longan Lour.,Dimocarpus longan,Nephelium lappaceum L.,Nephelium lappaceum,Dimocarpus,Nephelium
367081,Euphoria xerocarpa Blume,Xerospermum noronhianum Blume,Xerospermum noronhianum Blume,Xerospermum noronhianum Blume,Xerospermum noronhianum,Arytera littoralis Blume,Arytera littoralis,Xerospermum,Arytera
367929,Exacum macrantherum Miq.,Exacum sessile L.,Exacum sessile L.,Exacum sessile L.,Exacum sessile,Canscora pauciflora Dalzell,Canscora pauciflora,Exacum,Canscora
368734,Bureavella macrantha (Merr.) Aubrév.,Pouteria macrantha (Merr.) Baehni,Pouteria macrantha (Merr.) Baehni,Pouteria macrantha (Merr.) Baehni,Pouteria macrantha,Planchonella macrantha (Merr.) Swenson,Planchonella macrantha,Pouteria,Planchonella
369068,Fedia patellaria Sull. ex A.Gray,Valerianella umbilicata (Sull. ex A.Gray) Alph.Wood,Valerianella umbilicata (Sull. ex A.Gray) Alph.Wood,Valerianella umbilicata (Sull. ex A.Gray) Alph.Wood,Valerianella umbilicata,Valeriana umbilicata (Sull.) Christenh. & Byng,Valeriana umbilicata,Valerianella,Valeriana
369192,Leopoldia amoenocoma (Rech.f.) Garbari,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi,Leopoldia spreitzenhoferi Heldr.,Leopoldia spreitzenhoferi,Muscari,Leopoldia
369291,Ferula cretica (Spreng.) M.Hiroe,Ferulago nodosa (L.) Boiss.,Ferulago nodosa (L.) Boiss.,Ferulago nodosa (L.) Boiss.,Ferulago nodosa,Peucedanum alpinum (Sieb. ex Schult.) B.L.Burtt & P.H.Davis,Peucedanum alpinum,Ferulago,Peucedanum
369485,Ferula seseloides C.A.Mey.,Saposhnikovia divaricata (Turcz.) Schischk.,Saposhnikovia divaricata (Turcz.) Schischk.,Saposhnikovia divaricata (Turcz.) Schischk.,Saposhnikovia divaricata,Dichoropetalum seseloides (C.A.Mey.) Pimenov & Kljuykov,Dichoropetalum seseloides,Saposhnikovia,Dichoropetalum
369569,Ferulago longistylis Boiss.,Ferulago asparagifolia Boiss.,Ferulago asparagifolia Boiss.,Ferulago asparagifolia Boiss.,Ferulago asparagifolia,Prangos longistylis (Boiss.) Pimenov & Kljuykov,Prangos longistylis,Ferulago,Prangos
372071,Ficus sapotoides Baker,Ficus mauritiana Lam.,Ficus mauritiana Lam.,Ficus mauritiana Lam.,Ficus mauritiana,Tambourissa ficus (Tul.) A.DC.,Tambourissa ficus,Ficus,Tambourissa
372702,Finlaysonia maritima (Blume) Backer ex K.Heyne,Finlaysonia obovata Wall.,Finlaysonia obovata Wall.,Finlaysonia obovata Wall.,Finlaysonia obovata,Secamone maritima Blume,Secamone maritima,Finlaysonia,Secamone
372766,Fischeria macrocarpa Poepp.,Fischeria stellata (Vell.) E.Fourn.,Fischeria stellata (Vell.) E.Fourn.,Fischeria stellata (Vell.) E.Fourn.,Fischeria stellata,Pruskortizia macrocarpa (Poepp.) Morillo,Pruskortizia macrocarpa,Fischeria,Pruskortizia
373008,Forgerouxa repens Raf.,Rhamnus pumila Turra,Rhamnus pumila Turra,Rhamnus pumila Turra,Rhamnus pumila,Frangula rupestris Schur,Frangula rupestris,Rhamnus,Frangula
373637,Friesodielsia discostigma (Diels) Steenis,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Afroguatteria discostigma,Monanthotaxis,Afroguatteria
373858,Muscari creticum Vierh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi,Leopoldia spreitzenhoferi Heldr.,Leopoldia spreitzenhoferi,Muscari,Leopoldia
374074,Fumaria ambigua Lojac.,Fumaria flabellata Gasp.,Fumaria flabellata Gasp.,Fumaria flabellata Gasp.,Fumaria flabellata,Corydalis ambigua Cham. & Schltdl.,Corydalis ambigua,Fumaria,Corydalis
374121,Fumaria capnoides L.,Pseudofumaria lutea (L.) Borkh.,Pseudofumaria lutea (L.) Borkh.,Pseudofumaria lutea (L.) Borkh.,Pseudofumaria lutea,Corydalis capnoides (L.) Pers.,Corydalis capnoides,Pseudofumaria,Corydalis
374356,Fumaria sempervirens L.,Corydalis solida (L.) Clairv.,Corydalis solida (L.) Clairv.,Corydalis solida (L.) Clairv.,Corydalis solida,Capnoides sempervirens (L.) Borkh.,Capnoides sempervirens,Corydalis,Capnoides
374693,Muscari amoenocomum Rech.f.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi (Heldr. ex Osterm.) H.R.Wehrh.,Muscari spreizenhoferi,Leopoldia spreitzenhoferi Heldr.,Leopoldia spreitzenhoferi,Muscari,Leopoldia
374695,Gamocarpha poeppigii var. angustifolia Reiche,Gamocarpha alpina (Poepp. ex Less.) H.V.Hansen,Gamocarpha alpina (Poepp. ex Less.) H.V.Hansen,Gamocarpha alpina (Poepp. ex Less.) H.V.Hansen,Gamocarpha alpina,Moschopsis angustifolia (Phil.) Pozner & S.Denham,Moschopsis angustifolia,Gamocarpha,Moschopsis
376009,Muscari haradjianii Briq. ex Rech.f.,Leopoldia tenuiflora (Tausch) Heldr.,Leopoldia tenuiflora (Tausch) Heldr.,Leopoldia tenuiflora (Tausch) Heldr.,Leopoldia tenuiflora,Muscari haradjianii Briq. ex Rech.f.,Muscari haradjianii,Leopoldia,Muscari
376178,Gendarussa furcata Nees,Ruellia paniculata L.,Ruellia paniculata L.,Ruellia paniculata L.,Ruellia paniculata,Justicia pacifica (Oerst.) Hemsl.,Justicia pacifica,Ruellia,Justicia
376181,Gendarussa montana (Nees) Bremek.,Eranthemum capense L.,Eranthemum capense L.,Eranthemum capense L.,Eranthemum capense,Justicia santapaui Bennet,Justicia santapaui,Eranthemum,Justicia
376610,Gentiana axillaris Poir. ex Lam.,Gentianella amarella (L.) Harry Sm.,Gentianella amarella (L.) Harry Sm.,Gentianella amarella (L.) Harry Sm.,Gentianella amarella,Enicostema axillare (Poir. ex Lam.) A.Raynal,Enicostema axillare,Gentianella,Enicostema
377834,Gentiana serrata Lam.,Gentiana verna L.,Gentiana verna L.,Gentiana verna L.,Gentiana verna,Gentianopsis detonsa subsp. detonsa ,Gentianopsis detonsa,Gentiana,Gentianopsis
377975,Gentiana tornezyana Litard. & Maire,Gentianella campestris (L.) Börner,Gentianella campestris (L.) Börner,Gentianella campestris (L.) Börner,Gentianella campestris,Gentiana tornezyana Litard. & Maire,Gentiana tornezyana,Gentianella,Gentiana
378057,Gentiana virgata Rusby,Gentianopsis virgata (Raf.) Holub,Gentianopsis virgata (Raf.) Holub,Gentianopsis virgata (Raf.) Holub,Gentianopsis virgata,Gentianella kusnezowii (Gilg) T.N.Ho & S.W.Liu,Gentianella kusnezowii,Gentianopsis,Gentianella
380005,Gerascanthus bifurcatus (Roem. & Schult.) Borhidi,Cordia bifurcata Roem. & Schult.,Cordia bifurcata Roem. & Schult.,Cordia bifurcata Roem. & Schult.,Cordia bifurcata,Varronia dichotoma Ruiz & Pav.,Varronia dichotoma,Cordia,Varronia
380544,Gilia pungens Douglas ex Hook.,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson,Linanthus pungens,Navarretia squarrosa (Eschsch.) Hook. & Arn.,Navarretia squarrosa,Linanthus,Navarretia
380575,Gilia squarrosa (Eschsch.) Hook. & Arn.,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson,Linanthus pungens,Navarretia squarrosa (Eschsch.) Hook. & Arn.,Navarretia squarrosa,Linanthus,Navarretia
380589,Gilia tenuiflora var. caruifolia Munz,Gilia tenuiflora Benth.,Gilia tenuiflora Benth.,Gilia tenuiflora Benth.,Gilia tenuiflora,Saltugilia caruifolia (Abrams) L.A.Johnson,Saltugilia caruifolia,Gilia,Saltugilia
380911,Glaux acutifolia A.Heller,"Lysimachia maritima (L.) Galasso, Banfi & Soldano","Lysimachia maritima (L.) Galasso, Banfi & Soldano","Lysimachia maritima (L.) Galasso, Banfi & Soldano",Lysimachia maritima,Nitrophila occidentalis (Moq.) S.Watson,Nitrophila occidentalis,Lysimachia,Nitrophila
381436,Glycosmis parkeri V.Naray.,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis,Glycosmis parkeri V.Naray.,Glycosmis parkeri,Buchanania,Glycosmis
381479,Glycosmis touranensis Guillaumin,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis,Glycosmis parkeri V.Naray.,Glycosmis parkeri,Buchanania,Glycosmis
381530,Glyptopetalum occultonervatum R.H.Miao,Glyptopetalum geloniifolium (Chun & F.C.How) C.Y.Cheng,Glyptopetalum geloniifolium (Chun & F.C.How) C.Y.Cheng,Glyptopetalum geloniifolium (Chun & F.C.How) C.Y.Cheng,Glyptopetalum geloniifolium,Euonymus gracillimus Hemsl.,Euonymus gracillimus,Glyptopetalum,Euonymus
381721,Gnidia tomentosa Hook.,Gnidia virescens Wikstr.,Gnidia virescens Wikstr.,Gnidia virescens Wikstr.,Gnidia virescens,Lasiosiphon anthylloides (L.f.) Meisn.,Lasiosiphon anthylloides,Gnidia,Lasiosiphon
381774,Goeppertia argentea var. lherminieri Meisn.,Endlicheria argentea Chanderb.,Endlicheria argentea Chanderb.,Endlicheria argentea Chanderb.,Endlicheria argentea,Aniba bracteata (Nees) Mez,Aniba bracteata,Endlicheria,Aniba
382029,Gomphocarpus longipes Oliv.,Asclepias aurea (Schltr.) Schltr.,Asclepias aurea (Schltr.) Schltr.,Asclepias aurea (Schltr.) Schltr.,Asclepias aurea,Stathmostelma pedunculatum (Decne.) K.Schum.,Stathmostelma pedunculatum,Asclepias,Stathmostelma
382043,Gomphocarpus pedunculatus Decne.,Asclepias aurea (Schltr.) Schltr.,Asclepias aurea (Schltr.) Schltr.,Asclepias aurea (Schltr.) Schltr.,Asclepias aurea,Stathmostelma pedunculatum (Decne.) K.Schum.,Stathmostelma pedunculatum,Asclepias,Stathmostelma
382572,Goniothalamus donnaiensis Finet & Gagnep.,Knema pierrei Warb.,Knema pierrei Warb.,Knema pierrei Warb.,Knema pierrei,Goniothalamus donnaiensis Finet & Gagnep.,Goniothalamus donnaiensis,Knema,Goniothalamus
382956,Gonolobus reflexus Hemsl.,Matelea reflexa (Hemsl.) Morillo,Matelea reflexa (Hemsl.) Morillo,Matelea reflexa (Hemsl.) Morillo,Matelea reflexa,Pseudolachnostoma reflexum (Hemsl.) Morillo,Pseudolachnostoma reflexum,Matelea,Pseudolachnostoma
382992,Gonolobus suberosus Bertol.,Ibatia maritima (Jacq.) Decne.,Ibatia maritima (Jacq.) Decne.,Ibatia maritima (Jacq.) Decne.,Ibatia maritima,Gonolobus suberosus Bertol.,Gonolobus suberosus,Ibatia,Gonolobus
383005,Gonolobus undulatus (Jacq.) Schult.,Marsdenia undulata (Jacq.) Dugand,Marsdenia undulata (Jacq.) Dugand,Marsdenia undulata (Jacq.) Dugand,Marsdenia undulata,Ruehssia undulata (Jacq.) Liede & H.A.Keller,Ruehssia undulata,Marsdenia,Ruehssia
385186,Grewia heterotricha Burret,Grewia transzambesica Wild,Grewia transzambesica Wild,Grewia transzambesica Wild,Grewia transzambesica,Microcos calymmatosepala (K.Schum.) Burret,Microcos calymmatosepala,Grewia,Microcos
385848,Guarea claessensii De Wild.,Guarea glomerulata Harms,Guarea glomerulata Harms,Guarea glomerulata Harms,Guarea glomerulata,Neoguarea glomerulata (Harms) E.J.M.Koenen & J.J.de Wilde,Neoguarea glomerulata,Guarea,Neoguarea
385958,Guarea ngounyensis Pellegr.,Guarea glomerulata Harms,Guarea glomerulata Harms,Guarea glomerulata Harms,Guarea glomerulata,Neoguarea glomerulata (Harms) E.J.M.Koenen & J.J.de Wilde,Neoguarea glomerulata,Guarea,Neoguarea
386860,Gymnema geminatum R.Br.,Gymnema sylvestre (Retz.) R.Br. ex Sm.,Gymnema sylvestre (Retz.) R.Br. ex Sm.,Gymnema sylvestre (Retz.) R.Br. ex Sm.,Gymnema sylvestre,Marsdenia geminata (R.Br.) P.I.Forst.,Marsdenia geminata,Gymnema,Marsdenia
386883,Gymnema malayanum Griff.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum,Marsdenia lactifera (L.) I.M.Turner,Marsdenia lactifera,Gymnema,Marsdenia
386893,Gymnema nitens Blume,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum,Marsdenia lactifera (L.) I.M.Turner,Marsdenia lactifera,Gymnema,Marsdenia
386922,Gymnema zeylanicum Decne.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum (L.) R.Br. ex Schult.,Gymnema lactiferum,Marsdenia lactifera (L.) I.M.Turner,Marsdenia lactifera,Gymnema,Marsdenia
387006,Gymnocalycium centeterium (Lehm. ex Pfeiff.) Hosseus,Gymnocalycium mostii (Gürke) Britton & Rose,Gymnocalycium mostii (Gürke) Britton & Rose,Gymnocalycium mostii (Gürke) Britton & Rose,Gymnocalycium mostii,Echinocactus centeterius Lehm. ex Pfeiff.,Echinocactus centeterius,Gymnocalycium,Echinocactus
387354,Gymnosporia gracilis Pierre,Gymnosporia gracilis Loes.,Gymnosporia gracilis Loes.,Gymnosporia gracilis Loes.,Gymnosporia gracilis,Maytenus gracilis Loes.,Maytenus gracilis,Gymnosporia,Maytenus
387958,Gyrostelma bornmuelleri Schltr. ex Malme,Gyrostelma oxypetaloides E.Fourn.,Gyrostelma oxypetaloides E.Fourn.,Gyrostelma oxypetaloides E.Fourn.,Gyrostelma oxypetaloides,"Rojasia bornmuelleri (Schltr. ex Malme) Fontella, S.A.Cáceres & R.Santos",Rojasia bornmuelleri,Gyrostelma,Rojasia
387982,Haageocereus akersii Backeb.,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus,Haageocereus kagenekii (C.C.Gmel.) Mottram,Haageocereus kagenekii,Weberbauerocereus,Haageocereus
388040,Hackelia minima Brand,Actinocarya tibetica Benth.,Actinocarya tibetica Benth.,Actinocarya tibetica Benth.,Actinocarya tibetica,Eritrichium minimum (Brand) H.Hara,Eritrichium minimum,Actinocarya,Eritrichium
388055,Haemocharis intermedia (Benth.) Choisy,"Polyspora gardneri Orel, Peter G.Wilson, Curry & Luu","Polyspora gardneri Orel, Peter G.Wilson, Curry & Luu","Polyspora gardneri Orel, Peter G.Wilson, Curry & Luu",Polyspora gardneri,Gordonia fruticosa (Schrad.) H.Keng,Gordonia fruticosa,Polyspora,Gordonia
388061,Haemocharis speciosa (Kunth) Choisy,"Polyspora gardneri Orel, Peter G.Wilson, Curry & Luu","Polyspora gardneri Orel, Peter G.Wilson, Curry & Luu","Polyspora gardneri Orel, Peter G.Wilson, Curry & Luu",Polyspora gardneri,Gordonia fruticosa (Schrad.) H.Keng,Gordonia fruticosa,Polyspora,Gordonia
388558,Polygonatum marmoratum H.Lév.,Polygonatum punctatum Royle ex Kunth,Polygonatum punctatum Royle ex Kunth,Polygonatum punctatum Royle ex Kunth,Polygonatum punctatum,Heteropolygonatum marmoratum (H.Lév.) Floden,Heteropolygonatum marmoratum,Polygonatum,Heteropolygonatum
389184,Helianthemum pilosum (L.) Pers.,Helianthemum violaceum (Cav.) Pers.,Helianthemum violaceum (Cav.) Pers.,Helianthemum violaceum (Cav.) Pers.,Helianthemum violaceum,Fumana viridis (Ten.) Sennen,Fumana viridis,Helianthemum,Fumana
389218,Helianthemum variabile Spach,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata,Helianthemum apenninum (L.) Mill.,Helianthemum apenninum,Tuberaria,Helianthemum
389556,Heliotropium ovalifolium var. crassifolium Domin,Euploca ovalifolia (Forssk.) Diane & Hilger,Euploca ovalifolia (Forssk.) Diane & Hilger,Euploca ovalifolia (Forssk.) Diane & Hilger,Euploca ovalifolia,Heliotropium pachyphyllum Craven,Heliotropium pachyphyllum,Euploca,Heliotropium
389652,Helladia tymphaea (Quézel & Contandr.) M.Král,Sedum tymphaeum Quézel & Contandr.,Sedum tymphaeum Quézel & Contandr.,Sedum tymphaeum Quézel & Contandr.,Sedum tymphaeum,Prometheum tymphaeum (Quézel & Contandr.) 't Hart,Prometheum tymphaeum,Sedum,Prometheum
391638,Hostmannia sagotii Tiegh.,Ouratea leblondii (Tiegh.) Lemée,Ouratea leblondii (Tiegh.) Lemée,Ouratea leblondii (Tiegh.) Lemée,Ouratea leblondii,Elvasia elvasioides Gilg,Elvasia elvasioides,Ouratea,Elvasia
393818,Ilex reevesiana Fortune,Ilex cornuta Lindl. & Paxton,Ilex cornuta Lindl. & Paxton,Ilex cornuta Lindl. & Paxton,Ilex cornuta,Skimmia reevesiana R.Fortune,Skimmia reevesiana,Ilex,Skimmia
394567,Ionidium glutinosum Vent.,Hybanthus parviflorus (L.f.) Baill.,Hybanthus parviflorus (L.f.) Baill.,Hybanthus parviflorus (L.f.) Baill.,Hybanthus parviflorus,Pombalia parviflora (L.f.) Paula-Souza,Pombalia parviflora,Hybanthus,Pombalia
394569,Ionidium graminifolium Chodat,Hybanthus graminifolius (Chodat) Schulze-Menz,Hybanthus graminifolius (Chodat) Schulze-Menz,Hybanthus graminifolius (Chodat) Schulze-Menz,Hybanthus graminifolius,Pombalia graminifolia (Chodat) Paula-Souza,Pombalia graminifolia,Hybanthus,Pombalia
394577,Ionidium microphyllum Kunth,Hybanthus parviflorus (L.f.) Baill.,Hybanthus parviflorus (L.f.) Baill.,Hybanthus parviflorus (L.f.) Baill.,Hybanthus parviflorus,Pombalia parviflora (L.f.) Paula-Souza,Pombalia parviflora,Hybanthus,Pombalia
394581,Ionidium paraguariense Chodat,Hybanthus paraguariensis (Chodat) Schulze-Menz,Hybanthus paraguariensis (Chodat) Schulze-Menz,Hybanthus paraguariensis (Chodat) Schulze-Menz,Hybanthus paraguariensis,Pombalia paraguariensis (Chodat) Paula-Souza,Pombalia paraguariensis,Hybanthus,Pombalia
395325,Quiina spruceana Engl.,Lacunaria oppositifolia Pires,Lacunaria oppositifolia Pires,Lacunaria oppositifolia Pires,Lacunaria oppositifolia,Quiina macrophylla Tul.,Quiina macrophylla,Lacunaria,Quiina
395960,Peucedanum laevigatum (Aiton) H.Wolff,Notobubon laevigatum (Aiton) Magee,Notobubon laevigatum (Aiton) Magee,Notobubon laevigatum (Aiton) Magee,Notobubon laevigatum,Lomatium ambiguum (Nutt.) J.M.Coult. & Rose,Lomatium ambiguum,Notobubon,Lomatium
397341,Scilla coromandeliana Roxb.,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Dipcadi serotinum var. serotinum ,Dipcadi serotinum,Drimia,Dipcadi
398494,Dicliptera riparia var. yunnanensis Hand.-Mazz.,Dicliptera riparia Nees,Dicliptera riparia Nees,Dicliptera riparia Nees,Dicliptera riparia,Hypoestes triflora var. triflora ,Hypoestes triflora,Dicliptera,Hypoestes
399199,Echinocereus multangularis var. limensis Lem. ex Rümpler,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus,Haageocereus limensis (Salm-Dyck) F.Ritter,Haageocereus limensis,Weberbauerocereus,Haageocereus
399219,Binghamia multangularis var. rufispina (Haw. ex Fobe) Borg,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus,Haageocereus kagenekii (C.C.Gmel.) Mottram,Haageocereus kagenekii,Weberbauerocereus,Haageocereus
399220,Cactus lanuginosus var. aureus Colla,Pilosocereus lanuginosus (L.) Byles & G.D.Rowley,Pilosocereus lanuginosus (L.) Byles & G.D.Rowley,Pilosocereus lanuginosus (L.) Byles & G.D.Rowley,Pilosocereus lanuginosus,Haageocereus kagenekii (C.C.Gmel.) Mottram,Haageocereus kagenekii,Pilosocereus,Haageocereus
399224,Cereus grandiflorus var. callicanthus Rümpler,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus,Cereus × callicanthus (Rümpler) Woodson,Cereus callicanthus,Selenicereus,Cereus
399225,Cereus grandiflorus var. maynardii Paxton,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus,× Disoselenicereus × fulgidus (Hook.f.) E.Meier,Disoselenicereus fulgidus,Selenicereus,Disoselenicereus
399235,Cereus multangularis var. pallidior Pfeiff.,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus,Haageocereus kagenekii (C.C.Gmel.) Mottram,Haageocereus kagenekii,Weberbauerocereus,Haageocereus
399236,Cereus multangularis var. rufispinus Haw. ex Fobe,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus F.Ritter,Weberbauerocereus winterianus,Haageocereus kagenekii (C.C.Gmel.) Mottram,Haageocereus kagenekii,Weberbauerocereus,Haageocereus
