,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species,v14_chained_accepted_genus,v14_direct_accepted_genus
93453,Fimbristylis tashiroana var. cincta Ohwi,Fimbristylis dichotoma subsp. dichotoma,Fimbristylis dichotoma subsp. dichotoma,Fimbristylis dichotoma subsp. dichotoma,Fimbristylis dichotoma,Fimbristylis tashiroana Ohwi,Fimbristylis tashiroana,Fimbristylis,Fimbristylis
93515,Fimbristylis dichotoma f. cincta (Ohwi) T.Koyama,Fimbristylis dichotoma subsp. dichotoma,Fimbristylis dichotoma subsp. dichotoma,Fimbristylis dichotoma subsp. dichotoma,Fimbristylis dichotoma,Fimbristylis tashiroana Ohwi,Fimbristylis tashiroana,Fimbristylis,Fimbristylis
94718,Nidularium lindenii Regel,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta,Edmundoa lindenii (Regel) Leme,Edmundoa lindenii,Hohenbergia,Edmundoa
96144,Musa paramjitiana L.J.Singh,Musa balbisiana var. balbisiana,Musa balbisiana var. balbisiana,Musa balbisiana var. balbisiana,Musa balbisiana,Musa paramjitiana L.J.Singh,Musa paramjitiana,Musa,Musa
96831,Paepalanthus elongatus var. glabrescens Moldenke,Paepalanthus elongatus (Bong.) Körn.,Paepalanthus elongatus (Bong.) Körn.,Paepalanthus elongatus (Bong.) Körn.,Paepalanthus elongatus,Paepalanthus politus Trovó,Paepalanthus politus,Paepalanthus,Paepalanthus
96902,Paepalanthus viridis Körn.,Paepalanthus lamarckii Kunth,Paepalanthus lamarckii Kunth,Paepalanthus lamarckii Kunth,Paepalanthus lamarckii,Paepalanthus viridis Körn.,Paepalanthus viridis,Paepalanthus,Paepalanthus
97012,Ptilanthelium Steud.,Schoenus L.,Schoenus L.,Schoenus L.,,Chaetospora R.Br.,,Schoenus,Chaetospora
97016,Paepalanthus pulchellus var. puberulentus Moldenke,Paepalanthus pulchellus Herzog,Paepalanthus pulchellus Herzog,Paepalanthus pulchellus Herzog,Paepalanthus pulchellus,Paepalanthus lundii Körn.,Paepalanthus lundii,Paepalanthus,Paepalanthus
97476,Restrepiella grandiflora Garay,Pleurothallopsis microptera (Schltr.) Pridgeon & M.W.Chase,Pleurothallopsis microptera (Schltr.) Pridgeon & M.W.Chase,Pleurothallopsis microptera (Schltr.) Pridgeon & M.W.Chase,Pleurothallopsis microptera,Pleurothallopsis grandiflora (Garay) J.Ponert,Pleurothallopsis grandiflora,Pleurothallopsis,Pleurothallopsis
97653,Epidendrum leopardinum Rchb.f.,Prosthechea crassilabia (Poepp. & Endl.) Carnevali & I.Ramírez,Prosthechea crassilabia (Poepp. & Endl.) Carnevali & I.Ramírez,Prosthechea crassilabia (Poepp. & Endl.) Carnevali & I.Ramírez,Prosthechea crassilabia,Prosthechea leopardina (Rchb.f.) Dodson & Hágsater,Prosthechea leopardina,Prosthechea,Prosthechea
97661,Epidendrum rhabdobulbon Schltr.,Prosthechea crassilabia (Poepp. & Endl.) Carnevali & I.Ramírez,Prosthechea crassilabia (Poepp. & Endl.) Carnevali & I.Ramírez,Prosthechea crassilabia (Poepp. & Endl.) Carnevali & I.Ramírez,Prosthechea crassilabia,Prosthechea rhabdobulbon (Schltr.) Szlach. & Kolan.,Prosthechea rhabdobulbon,Prosthechea,Prosthechea
98247,Pleurostachys cimaensis H.Pfeiff.,Rhynchospora foliosa (Kunth) L.B.Sm.,Rhynchospora foliosa (Kunth) L.B.Sm.,Rhynchospora foliosa (Kunth) L.B.Sm.,Rhynchospora foliosa,Rhynchospora sellowii (Kunth) W.W.Thomas,Rhynchospora sellowii,Rhynchospora,Rhynchospora
98250,Pleurostachys sellowii Kunth,Rhynchospora foliosa (Kunth) L.B.Sm.,Rhynchospora foliosa (Kunth) L.B.Sm.,Rhynchospora foliosa (Kunth) L.B.Sm.,Rhynchospora foliosa,Rhynchospora sellowii (Kunth) W.W.Thomas,Rhynchospora sellowii,Rhynchospora,Rhynchospora
98256,Rhynchospora yasudana Makino,Rhynchospora fujiiana Makino,Rhynchospora fujiiana Makino,Rhynchospora fujiiana Makino,Rhynchospora fujiiana,Rhynchospora yasudana Makino,Rhynchospora yasudana,Rhynchospora,Rhynchospora
98770,Heleogiton glaucum Rchb.,Schoenoplectus lacustris subsp. lacustris,Schoenoplectus lacustris subsp. lacustris,Schoenoplectus lacustris subsp. lacustris,Schoenoplectus lacustris,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,Schoenoplectus tabernaemontani,Schoenoplectus,Schoenoplectus
98892,Chaetospora R.Br.,Schoenus L.,Schoenus L.,Schoenus L.,,Chaetospora R.Br.,,Schoenus,Chaetospora
100338,Tillandsia fasciculata var. uncispica Mez,Tillandsia fasciculata var. fasciculata,Tillandsia fasciculata var. fasciculata,Tillandsia fasciculata var. fasciculata,Tillandsia fasciculata,Tillandsia uncispica (Mez) Hechav. & Sidoti,Tillandsia uncispica,Tillandsia,Tillandsia
100412,Tillandsia gayi Baker,Tillandsia latifolia var. latifolia,Tillandsia latifolia var. latifolia,Tillandsia latifolia var. latifolia,Tillandsia latifolia,Tillandsia divaricata Benth.,Tillandsia divaricata,Tillandsia,Tillandsia
100826,Typha angustata Bory & Chaub.,Typha domingensis Pers.,Typha domingensis Pers.,Typha domingensis Pers.,Typha domingensis,Typha angustifolia L.,Typha angustifolia,Typha,Typha
101933,Asparagus wildemanii Weim.,Asparagus schroederi Engl.,Asparagus schroederi Engl.,Asparagus schroederi Engl.,Asparagus schroederi,Asparagus africanus Lam.,Asparagus africanus,Asparagus,Asparagus
101935,Asparagus striatus De Wild.,Asparagus schroederi Engl.,Asparagus schroederi Engl.,Asparagus schroederi Engl.,Asparagus schroederi,Asparagus africanus Lam.,Asparagus africanus,Asparagus,Asparagus
103217,Leucojum hernandezii Cambess.,Leucojum aestivum L.,Leucojum aestivum L.,Leucojum aestivum L.,Leucojum aestivum,Leucojum pulchellum Salisb.,Leucojum pulchellum,Leucojum,Leucojum
103218,Leucojum pulchellum Salisb.,Leucojum aestivum L.,Leucojum aestivum L.,Leucojum aestivum L.,Leucojum aestivum,Leucojum pulchellum Salisb.,Leucojum pulchellum,Leucojum,Leucojum
103389,Ledebouria hyacinthina Roth,Ledebouria revoluta (L.f.) Jessop,Ledebouria revoluta (L.f.) Jessop,Ledebouria revoluta (L.f.) Jessop,Ledebouria revoluta,Ledebouria hyacinthina Roth,Ledebouria hyacinthina,Ledebouria,Ledebouria
103605,Miersia cornuta Phil.,Miersia chilensis Lindl.,Miersia chilensis Lindl.,Miersia chilensis Lindl.,Miersia chilensis,Miersia cornuta Phil.,Miersia cornuta,Miersia,Miersia
103852,Nothoscordum marchesii Crosa,Nothoscordum setaceum (Baker) Ravenna,Nothoscordum setaceum (Baker) Ravenna,Nothoscordum setaceum (Baker) Ravenna,Nothoscordum setaceum,Nothoscordum marchesii Crosa,Nothoscordum marchesii,Nothoscordum,Nothoscordum
105171,Autonoe (Webb & Berthel.) Speta,Scilla L.,Scilla L.,Scilla L.,,Autonoe (Webb & Berthel.) Speta,,Scilla,Autonoe
106294,Tulipa mongolica Y.Z.Zhao,Tulipa uniflora (L.) Besser ex Baker,Tulipa uniflora (L.) Besser ex Baker,Tulipa uniflora (L.) Besser ex Baker,Tulipa uniflora,Tulipa mongolica Y.Z.Zhao,Tulipa mongolica,Tulipa,Tulipa
106522,Trillium tennesseense E.E.Schill. & Floden,Trillium lancifolium Raf.,Trillium lancifolium Raf.,Trillium lancifolium Raf.,Trillium lancifolium,Trillium tennesseense E.E.Schill. & Floden,Trillium tennesseense,Trillium,Trillium
106933,Yucca jaegeriana (McKelvey) L.W.Lenz,Yucca brevifolia Engelm.,Yucca brevifolia Engelm.,Yucca brevifolia Engelm.,Yucca brevifolia,Yucca jaegeriana (McKelvey) L.W.Lenz,Yucca jaegeriana,Yucca,Yucca
106936,Yucca brevifolia subsp. jaegeriana (McKelvey) Hochstätter,Yucca brevifolia Engelm.,Yucca brevifolia Engelm.,Yucca brevifolia Engelm.,Yucca brevifolia,Yucca jaegeriana (McKelvey) L.W.Lenz,Yucca jaegeriana,Yucca,Yucca
106940,Yucca brevifolia var. jaegeriana McKelvey,Yucca brevifolia Engelm.,Yucca brevifolia Engelm.,Yucca brevifolia Engelm.,Yucca brevifolia,Yucca jaegeriana (McKelvey) L.W.Lenz,Yucca jaegeriana,Yucca,Yucca
107644,Allium firmotunicatum var. album Grossh.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium leucanthum K.Koch,Allium leucanthum,Allium,Allium
107651,Allium rotundum var. multiflorum Nyman,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium polyanthum Schult. & Schult.f.,Allium polyanthum,Allium,Allium
107652,Allium porrum var. breve Alef.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107656,Allium porrum var. latum Alef.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107658,Allium porrum var. viviparum Alef.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107662,Allium polyanthum Schult. & Schult.f.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium polyanthum Schult. & Schult.f.,Allium polyanthum,Allium,Allium
107663,Porrum sativum Mill.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107664,Allium porrum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107665,Porrum commune Rchb.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107678,Allium ampeloprasum subsp. leucanthum (K.Koch) K.Richt.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium leucanthum K.Koch,Allium leucanthum,Allium,Allium
107679,Allium ampeloprasum var. leucanthum (K.Koch) Ledeb.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium leucanthum K.Koch,Allium leucanthum,Allium,Allium
107681,Allium ampeloprasum subsp. porrum (L.) Hayek,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107682,Allium ampeloprasum var. porrum (L.) J.Gay,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107686,Allium multiflorum DC.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium polyanthum Schult. & Schult.f.,Allium polyanthum,Allium,Allium
107687,Allium laetum Salisb.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium porrum L.,Allium porrum,Allium,Allium
107688,Allium leucanthum K.Koch,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium leucanthum K.Koch,Allium leucanthum,Allium,Allium
107689,Allium leucanthum var. tridentatum Ogan.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum L.,Allium ampeloprasum,Allium leucanthum K.Koch,Allium leucanthum,Allium,Allium
108638,Allium subhirsutum var. corbariense Timb.-Lagr. ex Nyman,Allium subhirsutum L.,Allium subhirsutum L.,Allium subhirsutum L.,Allium subhirsutum,Allium roseum subsp. roseum,Allium roseum,Allium,Allium
109398,Behria Greene,Bessera Schult.f.,Bessera Schult.f.,Bessera Schult.f.,,Behria Greene,,Bessera,Behria
111461,Pleomele aurantiaca (Baker) N.E.Br.,Dracaena cantleyi Baker,Dracaena cantleyi Baker,Dracaena cantleyi Baker,Dracaena cantleyi,Dracaena elliptica Thunb. & Dalm.,Dracaena elliptica,Dracaena,Dracaena
111464,Dracaena aurantiaca (Baker) Wall. ex Hook.f.,Dracaena cantleyi Baker,Dracaena cantleyi Baker,Dracaena cantleyi Baker,Dracaena cantleyi,Dracaena elliptica Thunb. & Dalm.,Dracaena elliptica,Dracaena,Dracaena
111465,Dracaena spicata var. aurantiaca Baker,Dracaena cantleyi Baker,Dracaena cantleyi Baker,Dracaena cantleyi Baker,Dracaena cantleyi,Dracaena elliptica Thunb. & Dalm.,Dracaena elliptica,Dracaena,Dracaena
111509,Dracaena atropurpurea var. kurzii Baker,Dracaena elliptica Thunb. & Dalm.,Dracaena elliptica Thunb. & Dalm.,Dracaena elliptica Thunb. & Dalm.,Dracaena elliptica,Dracaena angustifolia (Medik.) Roxb.,Dracaena angustifolia,Dracaena,Dracaena
111660,Vera-duthiea zambesiaca (Baker) N.R.Crouch & Mart.-Azorín,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111662,Thuranthos govindappae (A.Boraiah & Fathima) Speta,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia govindappae (A.Boraiah & Fathima) Lekhak & P.B.Yadav,Drimia govindappae,Drimia,Drimia
111663,Indurgia govindappae (A.Boraiah & Fathima) Speta,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia govindappae (A.Boraiah & Fathima) Lekhak & P.B.Yadav,Drimia govindappae,Drimia,Drimia
111666,Thuranthos zambesiacum (Baker) Kativu,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111667,Urginea amboensis Baker,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111671,Urginea govindappae A.Boraiah & Fathima,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia govindappae (A.Boraiah & Fathima) Lekhak & P.B.Yadav,Drimia govindappae,Drimia,Drimia
111672,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111674,Urginea salmonea Berhaut,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111675,Urginea zambesiaca Baker,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111677,Urginea sebirii Berhaut,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111678,Ornithogalum desertorum J.C.Manning & Goldblatt,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111679,Albuca reflexa K.Krause & Dinter,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111683,"Vera-duthiea reflexa (K.Krause & Dinter) Mart.-Azorín, M.B.Crespo, M.Pinter & Wetschnig",Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
111684,"Vera-duthiea amboensis (Baker) Mart.-Azorín, M.B.Crespo, M.Pinter & Wetschnig",Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica (Roxb.) Jessop,Drimia indica,Drimia zambesiaca (Baker) J.C.Manning & Goldblatt,Drimia zambesiaca,Drimia,Drimia
112533,Gagea cossoniana Pascher,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis,Gagea cossoniana Pascher,Gagea cossoniana,Gagea,Gagea
112536,Gagea wilczekii Braun-Blanq. & Maire,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis,Gagea cossoniana Pascher,Gagea cossoniana,Gagea,Gagea
112537,Gagea foliosa subsp. cossoniana (Pascher) A.Terracc.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis,Gagea cossoniana Pascher,Gagea cossoniana,Gagea,Gagea
112542,Gagea subtrigona J.-M.Tison,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis (Chabert) Chabert ex Batt.,Gagea algeriensis,Gagea subtrigona J.-M.Tison,Gagea subtrigona,Gagea,Gagea
112549,Gagea amblyopetala subsp. heldreichii A.Terracc.,Gagea amblyopetala Boiss. & Heldr.,Gagea amblyopetala Boiss. & Heldr.,Gagea amblyopetala Boiss. & Heldr.,Gagea amblyopetala,Gagea heldreichii (A.Terracc.) Lojac.,Gagea heldreichii,Gagea,Gagea
112551,Gagea amblyopetala var. montana Pascher,Gagea amblyopetala Boiss. & Heldr.,Gagea amblyopetala Boiss. & Heldr.,Gagea amblyopetala Boiss. & Heldr.,Gagea amblyopetala,Gagea heldreichii (A.Terracc.) Lojac.,Gagea heldreichii,Gagea,Gagea
112729,Gagea extremadurensis M.Gut. & F.M.Vázquez,Gagea lusitanica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica,Gagea extremadurensis M.Gut. & F.M.Vázquez,Gagea extremadurensis,Gagea,Gagea
112733,Gagea ellyptica (A.Terracc.) Prain,Gagea lusitanica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica,Gagea ellyptica (A.Terracc.) Prain,Gagea ellyptica,Gagea,Gagea
112735,Gagea foliosa subsp. ellyptica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica A.Terracc.,Gagea lusitanica,Gagea ellyptica (A.Terracc.) Prain,Gagea ellyptica,Gagea,Gagea
113175,Potamogeton alpinus var. rivularis (Hartm.) Hagstr.,Potamogeton alpinus Balb.,Potamogeton alpinus Balb.,Potamogeton alpinus Balb.,Potamogeton alpinus,Potamogeton × rivularis Gillot,Potamogeton × rivularis,Potamogeton,Potamogeton
114605,Thysanotus elatior R.Br.,Thysanotus tuberosus subsp. tuberosus,Thysanotus tuberosus subsp. tuberosus,Thysanotus tuberosus subsp. tuberosus,Thysanotus tuberosus,Thysanotus elatior R.Br.,Thysanotus elatior,Thysanotus,Thysanotus
114809,Lilium assamicum Kingdon-Ward,Lilium primulinum var. primulinum,Lilium primulinum var. primulinum,Lilium primulinum var. primulinum,Lilium primulinum,Lilium assamicum Kingdon-Ward,Lilium assamicum,Lilium,Lilium
114818,Tricyrtis formosana var. grandiflora S.S.Ying,Tricyrtis formosana var. formosana,Tricyrtis formosana var. formosana,Tricyrtis formosana Baker,Tricyrtis formosana,Tricyrtis ravenii C.I Peng & Tiang,Tricyrtis ravenii,Tricyrtis,Tricyrtis
114854,Potamogeton rufescens subsp. rivularis (Gillot) K.Richt.,Potamogeton alpinus subsp. alpinus,Potamogeton alpinus subsp. alpinus,Potamogeton alpinus subsp. alpinus,Potamogeton alpinus,Potamogeton × rivularis Gillot,Potamogeton × rivularis,Potamogeton,Potamogeton
114866,Potamogeton × lanceolatus subsp. rivularis (Gillot) Magnin,Potamogeton alpinus subsp. alpinus,Potamogeton alpinus subsp. alpinus,Potamogeton alpinus subsp. alpinus,Potamogeton alpinus,Potamogeton × rivularis Gillot,Potamogeton × rivularis,Potamogeton,Potamogeton
115176,Eschweilera praeclara Sandwith,Lecythis holcogyne (Sandwith) S.A.Mori,Lecythis holcogyne (Sandwith) S.A.Mori,Chytroma holcogyne (Sandwith) R.Knuth,Chytroma holcogyne,Lecythis praeclara (Sandwith) S.A.Mori ex Molino & Sabatier,Lecythis praeclara,Chytroma,Lecythis
116064,Juncus mogadorensis (H.Lindb.) A.W.Hill,Juncus hybridus Brot.,Juncus hybridus Brot.,Juncus hybridus Brot.,Juncus hybridus,Juncus mogadorensis (H.Lindb.) A.W.Hill,Juncus mogadorensis,Juncus,Juncus
116070,Juncus bufonius subsp. mogadorensis H.Lindb.,Juncus hybridus Brot.,Juncus hybridus Brot.,Juncus hybridus Brot.,Juncus hybridus,Juncus mogadorensis (H.Lindb.) A.W.Hill,Juncus mogadorensis,Juncus,Juncus
116071,Juncus bufonius var. mogadorensis (H.Lindb.) Maire & Weiller,Juncus hybridus Brot.,Juncus hybridus Brot.,Juncus hybridus Brot.,Juncus hybridus,Juncus mogadorensis (H.Lindb.) A.W.Hill,Juncus mogadorensis,Juncus,Juncus
118071,Sympa Ravenna,Herbertia Sweet,Herbertia Sweet,Herbertia Sweet,,Cypella Herb.,,Herbertia,Cypella
118077,Herbertia lineata Klatt,Herbertia pulchella Sweet,Herbertia pulchella Sweet,Herbertia pulchella Sweet,Herbertia pulchella,Herbertia lahue (Molina) Goldblatt,Herbertia lahue,Herbertia,Herbertia
118351,Iris aschersonii Foster,Iris grant-duffii Baker,Iris grant-duffii Baker,Iris grant-duffii Baker,Iris grant-duffii,Iris aschersonii Foster,Iris aschersonii,Iris,Iris
118352,"Syrianthus aschersonii (Foster) M.B.Crespo, Mart.-Azorín & Mavrodiev",Iris grant-duffii Baker,Iris grant-duffii Baker,Iris grant-duffii Baker,Iris grant-duffii,Iris aschersonii Foster,Iris aschersonii,Iris,Iris
118519,Iris thoroldii Baker ex Hemsl.,Iris potaninii Maxim.,Iris potaninii Maxim.,Iris potaninii Maxim.,Iris potaninii,Iris thoroldii Baker ex Hemsl.,Iris thoroldii,Iris,Iris
118751,Ixia striata Vahl,Ixia latifolia D.Delaroche,Ixia latifolia D.Delaroche,Ixia latifolia D.Delaroche,Ixia latifolia,Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning,Tritonia gladiolaris,Ixia,Tritonia
119287,Romulea ramiflora var. parlatorei (Tod.) Rouy,Romulea revelierei Jord. & Fourr.,Romulea revelierei Jord. & Fourr.,Romulea revelierei Jord. & Fourr.,Romulea revelierei,Romulea columnae subsp. columnae,Romulea columnae,Romulea,Romulea
119656,Montbretia strictifolia Klatt,Tritonia laxifolia (Klatt) Benth. & Hook.f. ex Baker,Tritonia laxifolia (Klatt) Benth. & Hook.f. ex Baker,Tritonia laxifolia (Klatt) Benth. & Hook.f. ex Baker,Tritonia laxifolia,Tritonia strictifolia (Klatt) Pax,Tritonia strictifolia,Tritonia,Tritonia
119693,"Tigridia lutea Link, Klotzsch & Otto",Tigridia pavonia (L.f.) Redouté,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia,"Tigridia lutea Link, Klotzsch & Otto",Tigridia lutea,Tigridia,Tigridia
119696,Sisyrinchium grandiflorum Cav.,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia,"Tigridia lutea Link, Klotzsch & Otto",Tigridia lutea,Tigridia,Tigridia
119698,"Beatonia lutea (Link, Klotzsch & Otto) Klatt",Tigridia pavonia (L.f.) Redouté,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia (L.f.) Redouté,Tigridia pavonia,"Tigridia lutea Link, Klotzsch & Otto",Tigridia lutea,Tigridia,Tigridia
119960,Xyris altissima G.Lodd.,Bobartia gladiata subsp. teres Strid,Bobartia gladiata subsp. teres Strid,Bobartia gladiata subsp. teres Strid,Bobartia gladiata,Bobartia indica L.,Bobartia indica,Bobartia,Bobartia
120574,Gladiolus germanicus Jord.,Gladiolus illyricus W.D.J.Koch,Gladiolus illyricus W.D.J.Koch,Gladiolus illyricus W.D.J.Koch,Gladiolus illyricus,Gladiolus communis L.,Gladiolus communis,Gladiolus,Gladiolus
120866,Iris sicula Tod.,Iris pallida subsp. pallida,Iris pallida subsp. pallida,Iris pallida subsp. pallida,Iris pallida,Iris sicula Tod.,Iris sicula,Iris,Iris
121643,Retzia campanuloides (L.f.) Spreng.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis,Prismatocarpus campanuloides (L.f.) Sond.,Prismatocarpus campanuloides,Retzia,Prismatocarpus
121645,Retzia roelloides (L.f.) Spreng.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis Thunb.,Retzia capensis,Prismatocarpus pedunculatus (P.J.Bergius) A.DC.,Prismatocarpus pedunculatus,Retzia,Prismatocarpus
121963,Hosta tokudama F.Maek.,Hosta sieboldiana var. sieboldiana,Hosta sieboldiana var. sieboldiana,Hosta sieboldiana var. sieboldiana,Hosta sieboldiana,Hosta tokudama F.Maek.,Hosta tokudama,Hosta,Hosta
122749,Callitriche papuana Merr. & L.M.Perry,Callitriche palustris subsp. palustris,Callitriche palustris subsp. palustris,Callitriche palustris subsp. palustris,Callitriche palustris,Callitriche papuana Merr. & L.M.Perry,Callitriche papuana,Callitriche,Callitriche
122756,Callitriche palustris var. natans L.,Callitriche palustris subsp. palustris,Callitriche palustris subsp. palustris,Callitriche palustris subsp. palustris,Callitriche palustris,Callitriche platycarpa Kütz.,Callitriche platycarpa,Callitriche,Callitriche
122782,Zingiber blancoi Hassk.,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet,Zingiber officinale Roscoe,Zingiber officinale,Zingiber,Zingiber
122788,Zingiber zerumbet var. valenzuelae Oliveros & Cantoria,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet subsp. zerumbet,Zingiber zerumbet,Zingiber purpureum Roscoe,Zingiber purpureum,Zingiber,Zingiber
