,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
404826,Hieracium wiesbaurianum subsp. subcanens (Arv.-Touv. & Gaut.) Zahn,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum,Hieracium hypochoeroides subsp. subcanens (Arv.-Touv. & Gaut.) Greuter,Hieracium hypochoeroides
404827,Hieracium wiesbaurianum subsp. ventosicum (Arv.-Touv. & Gaut.) Zahn,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum,Hieracium hypochoeroides subsp. ventosicum (Arv.-Touv. & Gaut.) Greuter,Hieracium hypochoeroides
404831,Hieracium pallidum subsp. brachetianum (Arv.-Touv. & Gaut.) Zahn,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum subsp. petiolare (Jord.) Greuter,Hieracium glaucinum,Hieracium schmidtii subsp. brachetianum (Arv.-Touv. & Gaut.) Gottschl.,Hieracium schmidtii
405339,Hieracium wiesbaurianum subsp. lithophilum (Arv.-Touv.) Zahn,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon,Hieracium hypochoeroides subsp. lithophilum (Arv.-Touv.) Greuter,Hieracium hypochoeroides
405340,Hieracium wiesbaurianum subsp. fissifurcum (Arv.-Touv. & Gaut.) Zahn,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon,Hieracium hypochoeroides subsp. fissifurcum (Arv.-Touv. & Gaut.) Greuter,Hieracium hypochoeroides
405341,Hieracium wiesbaurianum subsp. subcinereum (Arv.-Touv. & Gaut.) Zahn,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon subsp. leiopogon,Hieracium leiopogon,Hieracium hypochoeroides subsp. subcinereum (Arv.-Touv. & Gaut.) Greuter,Hieracium hypochoeroides
405451,Hieracium vulgatum var. funereum Jord. ex Sudre,Hieracium maculatum subsp. maculatum,Hieracium maculatum subsp. maculatum,Hieracium maculatum subsp. maculatum,Hieracium maculatum,Hieracium funebre J.-M.Tison,Hieracium funebre
405457,Hieracium maculatum var. funerum (Jord. ex Sudre) Zahn,Hieracium maculatum subsp. maculatum,Hieracium maculatum subsp. maculatum,Hieracium maculatum subsp. maculatum,Hieracium maculatum,Hieracium funebre J.-M.Tison,Hieracium funebre
405477,Hieracium vulgatum subsp. torticaule (Arv.-Touv.) Zahn,Hieracium divisum Jord.,Hieracium divisum Jord.,Hieracium divisum Jord.,Hieracium divisum,Hieracium lachenalii subsp. torticaule (Arv.-Touv.) Zahn,Hieracium lachenalii
407462,Pilosella fennica subsp. exorrhabda (Nägeli & Peter) Soják,Pilosella floribunda (Wimm. & Grab.) Fr.,Pilosella floribunda (Wimm. & Grab.) Fr.,Pilosella floribunda (Wimm. & Grab.) Fr.,Pilosella floribunda,Pilosella levieri (Peter) Soják,Pilosella levieri
407593,Pilosella hypeurya subsp. lamprocoma (Nägeli & Peter) H.P.Fuchs,Pilosella hypeurya (Peter) Soják,Pilosella hypeurya (Peter) Soják,Pilosella hypeurya (Peter) Soják,Pilosella hypeurya,Pilosella lamprocoma (Nägeli & Peter) Schljakov,Pilosella lamprocoma
408034,Pilosella erythriophylla subsp. rojowskii (Rehmann) Soják,Pilosella piloselloides subsp. piloselloides,Pilosella piloselloides subsp. piloselloides,Pilosella piloselloides subsp. piloselloides,Pilosella piloselloides,Pilosella bauhini (Schult.) Arv.-Touv.,Pilosella bauhini
408164,Hieracium pseudopilosella subsp. plantaginoides Nägeli & Peter,Pilosella pseudopilosella (Ten.) Soják,Pilosella pseudopilosella (Ten.) Soják,"Pilosella officinarum subsp. pseudopilosella (Ten.) Mateo, Egido & Gómiz",Pilosella officinarum,Pilosella periphanoides subsp. periphanoides,Pilosella periphanoides
408252,Pilosella ziziana subsp. leptophylla (Nägeli & Peter) Soják,Pilosella ziziana (Tausch) F.W.Schultz & Sch.Bip.,Pilosella ziziana (Tausch) F.W.Schultz & Sch.Bip.,Pilosella ziziana (Tausch) F.W.Schultz & Sch.Bip.,Pilosella ziziana,Pilosella densiflora (Tausch) Soják,Pilosella densiflora
408272,Lapsana rhagadiolus L.,Rhagadiolus edulis Gaertn.,Rhagadiolus edulis Gaertn.,Rhagadiolus edulis Gaertn.,Rhagadiolus edulis,Rhagadiolus stellatus (L.) Gaertn.,Rhagadiolus stellatus
408351,Hieracium adriaticum subsp. fallaciniforme Bornm. & Zahn,Pilosella visianii F.W.Schultz & Sch.Bip.,Pilosella visianii F.W.Schultz & Sch.Bip.,Pilosella visianii F.W.Schultz & Sch.Bip.,Pilosella visianii,Pilosella piloselloides subsp. piloselloides,Pilosella piloselloides
408481,Hedypnois cretica (L.) Dum.Cours.,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408494,Hedypnois rhagadioloides subsp. cretica (L.) Hayek,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408497,Hyoseris cretica L.,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408505,Rhagadiolus creticus (L.) All.,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408506,Hedypnois cretica var. gracilior Boiss.,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408509,Hedypnois polymorpha subsp. cretica (L.) Arcang.,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408511,Hedypnois polymorpha var. cretica (L.) Rouy,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois cretica (L.) Dum.Cours.,Hedypnois cretica
408813,Hieracium taraxaci L.,Scorzoneroides hispidula (Delile) Greuter & Talavera,Scorzoneroides hispidula (Delile) Greuter & Talavera,Scorzoneroides hispidula (Delile) Greuter & Talavera,Scorzoneroides hispidula,Scorzoneroides autumnalis subsp. borealis (Ball) Greuter,Scorzoneroides autumnalis
409099,Scorzonera picridioides Boiss.,Scorzonera paradoxa Fisch. & C.A.Mey. ex DC.,Scorzonera paradoxa Fisch. & C.A.Mey. ex DC.,"Pseudopodospermum papposum (DC.) Zaika, Sukhor. & N.Kilian",Pseudopodospermum papposum,Pseudopodospermum picridioides (Boiss.) E.Hatami,Pseudopodospermum picridioides
409429,Doronicum plantagineum proles willdenowii Rouy,Doronicum plantagineum subsp. plantagineum,Doronicum plantagineum subsp. plantagineum,Doronicum plantagineum subsp. plantagineum,Doronicum plantagineum,Doronicum × willdenowii (Rouy) A.W.Hill,Doronicum × willdenowii
409505,Cacalia syneilesis (Franch. & Sav.) Matsum.,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia,Syneilesis palmata (Lam.) Maxim.,Syneilesis palmata
409514,Senecio syneilesis Franch. & Sav.,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia,Syneilesis palmata (Lam.) Maxim.,Syneilesis palmata
409571,Hasteola tschonoskii (Koidz.) Pojark.,Parasenecio komarovianus (Pojark.) Y.L.Chen,Parasenecio komarovianus (Pojark.) Y.L.Chen,Parasenecio komarovianus (Pojark.) Y.L.Chen,Parasenecio komarovianus,Parasenecio hastatus var. hastatus,Parasenecio hastatus
409876,Tephroseris tenuifolia (Gaudin) Holub,Tephroseris helenitis (L.) B.Nord.,Tephroseris helenitis (L.) B.Nord.,Tephroseris helenitis (L.) B.Nord.,Tephroseris helenitis,Tephroseris longifolia (Jacq.) Griseb. & Schenk,Tephroseris longifolia
409917,Tephroseris microrrhiza Schur,Tephroseris integrifolia subsp. integrifolia,Tephroseris integrifolia subsp. integrifolia,Tephroseris integrifolia subsp. integrifolia,Tephroseris integrifolia,Tephroseris papposa subsp. papposa,Tephroseris papposa
409989,Tephroseris papposa subsp. kitaibelii (Jáv.) B.Nord.,Tephroseris papposa subsp. papposa,Tephroseris papposa subsp. papposa,Tephroseris papposa subsp. papposa,Tephroseris papposa,Tephroseris crassifolia Griseb. & Schenk,Tephroseris crassifolia
410290,Diplostephium foliosum Rusby,Gynoxys foliosa S.F.Blake,Gynoxys foliosa S.F.Blake,Gynoxys foliosa S.F.Blake,Gynoxys foliosa,Gynoxys megacephala Rusby,Gynoxys megacephala
410664,Senecio cliffordii N.D.Atwood & S.L.Welsh,Packera spellenbergii (T.M.Barkley) C.Jeffrey,Packera spellenbergii (T.M.Barkley) C.Jeffrey,Packera spellenbergii (T.M.Barkley) C.Jeffrey,Packera spellenbergii,Packera cliffordii (N.D.Atwood & S.L.Welsh) O'Kane,Packera cliffordii
410712,Senecio adenophyllus var. angustipinnatus Cuatrec.,Senecio adenophyllus Meyen & Walp.,Senecio adenophyllus Meyen & Walp.,Senecio adenophyllus Meyen & Walp.,Senecio adenophyllus,Senecio reicheanus Cabrera,Senecio reicheanus
410713,Senecio adenophyllus var. stipulatus Domke,Senecio adenophyllus Meyen & Walp.,Senecio adenophyllus Meyen & Walp.,Senecio adenophyllus Meyen & Walp.,Senecio adenophyllus,Senecio reicheanus Cabrera,Senecio reicheanus
410953,Senecio alboranicus Maire,Senecio gallicus Vill. ex Chaix,Senecio gallicus Vill. ex Chaix,Senecio gallicus Vill. ex Chaix,Senecio gallicus,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius
411009,Senecio humillimus var. vegetus Wedd.,Senecio humillimus Sch.Bip.,Senecio humillimus Sch.Bip.,Senecio humillimus Sch.Bip.,Senecio humillimus,Senecio vegetus (Wedd.) Cabrera,Senecio vegetus
411067,Senecio pygmaeus DC.,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio pygmaeus DC.,Senecio pygmaeus
411072,Senecio vernus Biv.,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio vernus Biv.,Senecio vernus
411073,Senecio siculus F.Dietr.,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio vernus Biv.,Senecio vernus
411078,Senecio marmorae Moris,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio marmorae Moris,Senecio marmorae
411079,Senecio pinguiculus Pomel,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio pinguiculus Pomel,Senecio pinguiculus
411080,Senecio pusillus Guss. ex DC.,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio pygmaeus DC.,Senecio pygmaeus
411083,Senecio caroli-malyi Horvatić,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio caroli-malyi Horvatić,Senecio caroli-malyi
411084,Senecio crassifolius Willd.,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio crassifolius Willd.,Senecio crassifolius
411086,Senecio leucanthemifolius subsp. crassifolius (Willd.) Ball,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius subsp. leucanthemifolius,Senecio leucanthemifolius,Senecio crassifolius Willd.,Senecio crassifolius
411142,Senecio pelolepis I.M.Johnst.,Senecio micropifolius DC.,Senecio micropifolius DC.,Senecio micropifolius DC.,Senecio micropifolius,Senecio pelolepis I.M.Johnst.,Senecio pelolepis
412269,Werneria lehmannii Klatt,Rockhausenia glandulosa (Wedd.) D.J.N.Hind,Rockhausenia glandulosa (Wedd.) D.J.N.Hind,Rockhausenia glandulosa (Wedd.) D.J.N.Hind,Rockhausenia glandulosa,Hypochaeris sessiliflora Kunth,Hypochaeris sessiliflora
412663,Adenostyles viridis subsp. australis (Ten.) Nyman,Adenostyles alliariae subsp. alliariae,Adenostyles alliariae subsp. alliariae,Adenostyles alliariae subsp. alliariae,Adenostyles alliariae,Adenostyles australis (Ten.) Iamonico & Pignatti,Adenostyles australis
413287,Cassinia rubra Buchanan,Ozothamnus lepidophyllus Steetz,Ozothamnus lepidophyllus Steetz,Ozothamnus lepidophyllus Steetz,Ozothamnus lepidophyllus,Ozothamnus leptophyllus (G.Forst.) Breitw. & J.M.Ward,Ozothamnus leptophyllus
413623,Helichrysum banksii A.Cunn. ex DC.,Xerochrysum bracteatum (Vent.) Tzvelev,Xerochrysum bracteatum (Vent.) Tzvelev,Xerochrysum bracteatum (Vent.) Tzvelev,Xerochrysum bracteatum,Xerochrysum banksii (A.Cunn. ex DC.) T.L.Collins & I.Telford,Xerochrysum banksii
414058,Gnaphalium adscendens Thunb.,Helichrysum cephaloideum DC.,Helichrysum cephaloideum DC.,Helichrysum cephaloideum DC.,Helichrysum cephaloideum,Helichrysum arenarium subsp. arenarium,Helichrysum arenarium
414154,Gnaphalium petiolatum L.,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare,Staehelina petiolata (L.) Hilliard & B.L.Burtt,Staehelina petiolata
414399,Gnaphalion dysodum St.-Lag.,Pseudognaphalium cheiranthifolium (Lam.) Hilliard & B.L.Burtt,Pseudognaphalium cheiranthifolium (Lam.) Hilliard & B.L.Burtt,Pseudognaphalium cheiranthifolium (Lam.) Hilliard & B.L.Burtt,Pseudognaphalium cheiranthifolium,"Pseudognaphalium dysodes (Spreng.) S.E.Freire, N.Bayón & C.Monti",Pseudognaphalium dysodes
414755,Gnaphalium simplex A.Rich.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus,"Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange",Pseudognaphalium lanatum
414966,Evax pygmaea subsp. carpetana (Lange) Masclans,Filago pygmaea subsp. pygmaea,Filago pygmaea subsp. pygmaea,Filago pygmaea subsp. pygmaea,Filago pygmaea,Filago carpetana (Lange) Chrtek & Holub,Filago carpetana
414969,Filago cavanillesii (Rouy) Chrtek & Holub,Filago pygmaea subsp. pygmaea,Filago pygmaea subsp. pygmaea,Filago pygmaea subsp. pygmaea,Filago pygmaea,Filago carpetana (Lange) Chrtek & Holub,Filago carpetana
414972,Evax cavanillesii Rouy,Filago pygmaea subsp. pygmaea,Filago pygmaea subsp. pygmaea,Filago pygmaea subsp. pygmaea,Filago pygmaea,Filago carpetana (Lange) Chrtek & Holub,Filago carpetana
415819,Olearia hookeri var. microcephala Benth.,Olearia hookeri (F.Muell. ex Sond.) Benth.,Olearia hookeri (F.Muell. ex Sond.) Benth.,Olearia hookeri (F.Muell. ex Sond.) Benth.,Olearia hookeri,Olearia ramulosa (Labill.) Benth.,Olearia ramulosa
416088,Bellis velutina Pomel,Bellis pappulosa Boiss. ex DC.,Bellis pappulosa Boiss. ex DC.,Bellis sylvestris subsp. pappulosa (Boiss. ex DC.) H.J.Coste,Bellis sylvestris,Bellis rotundifolia (Desf.) Boiss. & Reut.,Bellis rotundifolia
416290,Dichrocephala paniculata Miq.,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia,Myriactis javanica (Blume) DC.,Myriactis javanica
416758,Olearia arguta var. lanata Benth.,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis,Olearia arguta var. lanata Benth.,Olearia arguta
416761,Aster argutus R.Br. ex Benth.,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis,Olearia arguta var. arguta,Olearia arguta
416762,Olearia arguta Benth.,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis,Olearia arguta Benth.,Olearia arguta
416863,Brachyscome scapiformis var. glabra DC.,Vittadinia spathulata F.Muell. ex Sond.,Vittadinia spathulata F.Muell. ex Sond.,Vittadinia spathulata F.Muell. ex Sond.,Vittadinia spathulata,Brachyscome spathulata Gaudich.,Brachyscome spathulata
417857,Solidago galetorum (Greene) Friesner,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia caroliniana,Euthamia galetorum Greene,Euthamia galetorum
418140,Haplopappus integrifolius subsp. scaberulus (Greene) H.M.Hall,Pyrrocoma liatriformis Greene,Pyrrocoma liatriformis Greene,Pyrrocoma liatriformis Greene,Pyrrocoma liatriformis,Pyrrocoma scaberula Greene,Pyrrocoma scaberula
419345,Erigeron angustifolius (A.Gray) Rydb.,Erigeron peregrinus subsp. peregrinus,Erigeron peregrinus subsp. peregrinus,Erigeron peregrinus subsp. peregrinus,Erigeron peregrinus,Erigeron glacialis var. glacialis,Erigeron glacialis
419493,Aster pyrenaicus Pourr.,Erigeron uniflorus subsp. uniflorus,Erigeron uniflorus subsp. uniflorus,Erigeron uniflorus subsp. uniflorus,Erigeron uniflorus,Erigeron glabratus subsp. occidentalis (Vierh.) A.Pujadas,Erigeron glabratus
419882,Chrysanthemum neo-oreastrum C.C.Chang,Chrysanthemum hypargyreum Diels,Chrysanthemum hypargyreum Diels,Chrysanthemum hypargyreum Diels,Chrysanthemum hypargyreum,Chrysanthemum neo-oreastrum C.C.Chang,Chrysanthemum neo-oreastrum
420138,Absinthium divaricatum Fisch. ex Besser,Artemisia divaricata (Pamp.) Pamp.,Artemisia divaricata (Pamp.) Pamp.,Artemisia divaricata (Pamp.) Pamp.,Artemisia divaricata,Artemisia anethifolia Weber ex Stechm.,Artemisia anethifolia
420155,Artemisia spicata subsp. villarsii (Godr.) Arcang.,Artemisia genipi subsp. genipi,Artemisia genipi subsp. genipi,Artemisia genipi subsp. genipi,Artemisia genipi,Artemisia eriantha Ten.,Artemisia eriantha
420533,Artemisia aethiopica L.,Artemisia herba-alba Asso,Artemisia herba-alba Asso,Artemisia herba-alba Asso,Artemisia herba-alba,Artemisia aethiopica L.,Artemisia aethiopica
420605,Artemisia inculta Delile,Artemisia sieberi Besser,Artemisia sieberi Besser,Artemisia sieberi Besser,Artemisia sieberi,Artemisia inculta Delile,Artemisia inculta
421424,Chrysanthemum tanacetum Vis.,Tanacetum vulgare subsp. vulgare,Tanacetum vulgare subsp. vulgare,Tanacetum vulgare subsp. vulgare,Tanacetum vulgare,Tanacetum balsamita var. balsamitoides (Sch.Bip.) P.D.Sell,Tanacetum balsamita
421574,Leucanthemum vulgare subsp. eliasii (Sennen & Pau) Sennen & Pau,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,"Leucanthemum eliasii (Sennen & Pau) Vogt, Konowalik & Oberpr.",Leucanthemum eliasii
421579,"Chrysanthemum alpicola (Gremli) H.Hess, Landolt & Hirzel",Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum gaudinii Dalla Torre,Leucanthemum gaudinii
421580,Leucanthemum vulgare var. ageratifolium (Pau) Font Quer,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum ageratifolium Pau,Leucanthemum ageratifolium
421589,Leucanthemum ageratifolium Pau,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum ageratifolium Pau,Leucanthemum ageratifolium
421594,Leucanthemum praecox var. alpicola (Gremli) Villard,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum gaudinii Dalla Torre,Leucanthemum gaudinii
421636,Santolina chamaecyparissus var. intricata (Jord. & Fourr.) Guinea,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata
421637,Santolina valida Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata
421639,Santolina brevicaulis Jord.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata
421640,Santolina rigidula Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata
421641,Santolina intricata Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata
421642,Santolina chamaecyparissus var. rigidula (Jord. & Fourr.) Guinea,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata
421696,Chrysanthemum leucanthemum subsp. cuneifolium (Legrand ex H.J.Coste) P.Fourn.,Leucanthemum adustum subsp. adustum,Leucanthemum adustum subsp. adustum,Leucanthemum adustum subsp. adustum,Leucanthemum adustum,Leucanthemum cuneifolium Legrand ex H.J.Coste,Leucanthemum cuneifolium
421782,Leucanthemum vulgare var. pallidum (Fiori) Briq. & Cavill.,Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum pallens,Leucanthemum ircutianum subsp. leucolepis (Briq. & Cavill.) Vogt & Greuter,Leucanthemum ircutianum
422227,Inula saxatilis Lam.,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus
422229,Chiliadenus saxatilis (Lam.) Brullo,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus
422615,Polycephalos suaveolens Forssk.,Sphaeranthus senegalensis DC.,Sphaeranthus senegalensis DC.,Sphaeranthus senegalensis DC.,Sphaeranthus senegalensis,Sphaeranthus suaveolens (Forssk.) DC.,Sphaeranthus suaveolens
423376,Coreopsis nuecensoides E.B.Sm.,Coreopsis nuecensis A.Heller,Coreopsis nuecensis A.Heller,Coreopsis nuecensis A.Heller,Coreopsis nuecensis,Coreopsis nuecensoides E.B.Sm.,Coreopsis nuecensoides
423584,Enydra woollsii F.Muell.,Enydra fluctuans Lour.,Enydra fluctuans Lour.,Enydra fluctuans Lour.,Enydra fluctuans,Enydra woollsii F.Muell.,Enydra woollsii
423705,Franseria bipinnatifida Nutt.,Ambrosia camphorata (Greene) W.W.Payne,Ambrosia camphorata (Greene) W.W.Payne,Ambrosia camphorata (Greene) W.W.Payne,Ambrosia camphorata,Ambrosia chamissonis (Less.) Greene,Ambrosia chamissonis
424299,Acanthoxanthium ambrosioides (Hook. & Arn.) D.Löve,Xanthium spinosum subsp. spinosum,Xanthium spinosum subsp. spinosum,Xanthium spinosum subsp. spinosum,Xanthium spinosum,Xanthium ambrosioides Hook. & Arn.,Xanthium ambrosioides
425037,Wedelia macrodonta var. parviflora Hassl.,Wedelia macrodonta DC.,Wedelia macrodonta DC.,Wedelia macrodonta DC.,Wedelia macrodonta,Wedelia pallida Gardner,Wedelia pallida
426174,Verbesina molinaria B.L.Rob. & Greenm.,Verbesina oncophora B.L.Rob. & Seaton,Verbesina oncophora B.L.Rob. & Seaton,Verbesina oncophora B.L.Rob. & Seaton,Verbesina oncophora,Verbesina molinaria B.L.Rob. & Greenm.,Verbesina molinaria
427032,Unxia anemonifolia Kunth,Villanova oppositifolia Lag.,Villanova oppositifolia Lag.,Villanova oppositifolia Lag.,Villanova oppositifolia,Villanova anemonifolia (Kunth) Less.,Villanova anemonifolia
427064,Perityle fitchii Torr. ex A.Gray,Perityle emoryi Torr.,Perityle emoryi Torr.,Perityle emoryi Torr.,Perityle emoryi,Perityle rotundifolia (Benth.) Brandegee,Perityle rotundifolia
427488,Mikania odorata Lehm.,Mikania eucosma B.L.Rob.,Mikania eucosma B.L.Rob.,Mikania eucosma B.L.Rob.,Mikania eucosma,Mikania scandens (L.) Willd.,Mikania scandens
